observation_date,QJPR368BIS
1956-01-01,15.2050999999999998
1956-04-01,16.4597000000000016
1956-07-01,19.2239000000000004
1956-10-01,21.2849000000000004
1957-01-01,23.0786000000000016
1957-04-01,22.5699000000000005
1957-07-01,20.3828999999999994
1957-10-01,21.1389999999999993
1958-01-01,22.9606999999999992
1958-04-01,24.7206000000000010
1958-07-01,26.1786999999999992
1958-10-01,23.9656999999999982
1959-01-01,22.9273999999999987
1959-04-01,22.6296999999999997
1959-07-01,22.3471000000000011
1959-10-01,21.3475999999999999
1960-01-01,18.6767000000000003
1960-04-01,20.0494999999999983
1960-07-01,22.0213000000000001
1960-10-01,27.9973999999999990
1961-01-01,32.3723000000000027
1961-04-01,33.0850000000000009
1961-07-01,31.6140000000000008
1961-10-01,21.7171999999999983
1962-01-01,18.0594999999999999
1962-04-01,12.8009000000000004
1962-07-01,10.2932000000000006
1962-10-01,11.9647000000000006
1963-01-01,6.9417000000000000
1963-04-01,6.3986999999999998
1963-07-01,6.1622000000000003
1963-10-01,5.7270000000000003
1964-01-01,10.2162000000000006
1964-04-01,10.4662000000000006
1964-07-01,10.3230000000000004
1964-10-01,9.1204000000000001
1965-01-01,7.4714999999999998
1965-04-01,4.4917999999999996
1965-07-01,3.1446999999999998
1965-10-01,1.8711000000000000
1966-01-01,0.4015000000000000
1966-04-01,1.9220999999999999
1966-07-01,2.5754999999999999
1966-10-01,4.4226000000000001
1967-01-01,5.2008999999999999
1967-04-01,8.6515000000000004
1967-07-01,10.2018000000000004
1967-10-01,9.6283999999999992
1968-01-01,10.9665999999999997
1968-04-01,10.9566999999999997
1968-07-01,10.9116000000000000
1968-10-01,13.1028000000000002
1969-01-01,15.2850000000000001
1969-04-01,15.2630999999999997
1969-07-01,14.8698999999999995
1969-10-01,15.5939999999999994
1970-01-01,13.1350999999999996
1970-04-01,12.1542999999999992
1970-07-01,13.5543999999999993
1970-10-01,10.6487999999999996
1971-01-01,11.1433999999999997
1971-04-01,9.7689000000000004
1971-07-01,7.8624000000000001
1971-10-01,8.7636000000000003
1972-01-01,9.2751000000000001
1972-04-01,9.6882000000000001
1972-07-01,10.7172999999999998
1972-10-01,17.0429999999999993
1973-01-01,20.2057000000000002
1973-04-01,21.0759000000000007
1973-07-01,22.4485999999999990
1973-10-01,13.5295000000000005
1974-01-01,2.3506000000000000
1974-04-01,-4.0681000000000003
1974-07-01,-10.7758000000000003
1974-10-01,-16.7950000000000017
1975-01-01,-16.8184000000000005
1975-04-01,-15.8533000000000008
1975-07-01,-14.1195000000000004
1975-10-01,-9.8033000000000001
1976-01-01,-6.9257999999999997
1976-04-01,-6.7282000000000002
1976-07-01,-6.4381000000000004
1976-10-01,-5.6409000000000002
1977-01-01,-4.9786000000000001
1977-04-01,-4.4074000000000000
1977-07-01,-3.3115000000000001
1977-10-01,-1.7757000000000001
1978-01-01,0.0413000000000000
1978-04-01,1.2112000000000001
1978-07-01,1.4033000000000000
1978-10-01,2.8944999999999999
1979-01-01,4.4120999999999997
1979-04-01,5.3140000000000001
1979-07-01,6.2026000000000003
1979-10-01,6.0923999999999996
1980-01-01,5.1162999999999998
1980-04-01,4.7407000000000004
1980-07-01,5.1386000000000003
1980-10-01,4.8784999999999998
1981-01-01,5.3154000000000003
1981-04-01,6.0449999999999999
1981-07-01,5.9241999999999999
1981-10-01,5.3795999999999999
1982-01-01,5.7493999999999996
1982-04-01,5.4879999999999995
1982-07-01,4.5441000000000003
1982-10-01,4.0260999999999996
1983-01-01,3.5914999999999999
1983-04-01,2.8401999999999998
1983-07-01,2.9832000000000001
1983-10-01,2.3513999999999999
1984-01-01,1.1724000000000001
1984-04-01,1.2952999999999999
1984-07-01,0.8048999999999999
1984-10-01,0.6024000000000000
1985-01-01,0.7509999999999999
1985-04-01,0.4261000000000000
1985-07-01,0.0545000000000000
1985-10-01,0.6187000000000000
1986-01-01,0.5679000000000000
1986-04-01,1.4394000000000000
1986-07-01,2.2683000000000000
1986-10-01,3.7589000000000001
1987-01-01,5.3771000000000004
1987-04-01,6.7957000000000001
1987-07-01,8.9436999999999998
1987-10-01,8.0481999999999996
1988-01-01,7.5075000000000003
1988-04-01,5.9713000000000003
1988-07-01,3.5167000000000002
1988-10-01,3.6797000000000000
1989-01-01,4.3052000000000001
1989-04-01,3.9521999999999999
1989-07-01,5.3102999999999998
1989-10-01,7.7378000000000000
1990-01-01,8.9402000000000008
1990-04-01,11.1918000000000006
1990-07-01,12.3466000000000005
1990-10-01,8.4162999999999997
1991-01-01,5.6798999999999999
1991-04-01,2.3460000000000001
1991-07-01,-0.9574000000000000
1991-10-01,-2.8610000000000002
1992-01-01,-4.2843000000000000
1992-04-01,-5.6970999999999998
1992-07-01,-6.3291000000000004
1992-10-01,-5.7062999999999997
1993-01-01,-6.2022000000000004
1993-04-01,-5.3833000000000002
1993-07-01,-5.8696000000000002
1993-10-01,-4.6279000000000003
1994-01-01,-4.1009000000000002
1994-04-01,-3.2646000000000002
1994-07-01,-2.0785000000000000
1994-10-01,-2.5828000000000002
1995-01-01,-1.7259000000000000
1995-04-01,-1.4633000000000000
1995-07-01,-1.5083000000000000
1995-10-01,-1.0795999999999999
1996-01-01,-1.4388000000000001
1996-04-01,-1.9861000000000000
1996-07-01,-2.1192000000000002
1996-10-01,-2.2584000000000000
1997-01-01,-2.0922000000000001
1997-04-01,-3.2450000000000001
1997-07-01,-3.2079000000000000
1997-10-01,-3.2658000000000000
1998-01-01,-3.1699999999999999
1998-04-01,-1.8404000000000000
1998-07-01,-1.5276000000000001
1998-10-01,-2.7269000000000001
1999-01-01,-2.5747000000000000
1999-04-01,-2.7347999999999999
1999-07-01,-3.3290999999999999
1999-10-01,-2.4664999999999999
2000-01-01,-2.9834999999999998
2000-04-01,-3.0505000000000000
2000-07-01,-3.2728999999999999
2000-10-01,-3.2448999999999999
2001-01-01,-3.7126999999999999
2001-04-01,-3.5853000000000002
2001-07-01,-3.7698999999999998
2001-10-01,-3.8252000000000002
2002-01-01,-3.6496000000000000
2002-04-01,-4.3502999999999998
2002-07-01,-4.6214000000000004
2002-10-01,-5.1054000000000004
2003-01-01,-5.6604999999999999
2003-04-01,-5.9276000000000000
2003-07-01,-6.2039000000000000
2003-10-01,-6.1291000000000002
2004-01-01,-6.2831000000000001
2004-04-01,-5.9615999999999998
2004-07-01,-5.9767999999999999
2004-10-01,-6.2186000000000003
2005-01-01,-5.4005999999999998
2005-04-01,-4.9237000000000002
2005-07-01,-4.3803999999999998
2005-10-01,-3.5276999999999998
2006-01-01,-3.7046000000000001
2006-04-01,-3.4377000000000000
2006-07-01,-3.2883000000000000
2006-10-01,-2.4569000000000001
2007-01-01,-1.4390000000000001
2007-04-01,-1.0737000000000001
2007-07-01,-0.5955000000000000
2007-10-01,-1.2182999999999999
2008-01-01,-1.7034000000000000
2008-04-01,-2.5402999999999998
2008-07-01,-3.8342000000000001
2008-10-01,-3.5525000000000002
2009-01-01,-4.0999999999999996
2009-04-01,-4.1391999999999998
2009-07-01,-0.7691000000000000
2009-10-01,-0.8349000000000000
2010-01-01,1.2843000000000000
2010-04-01,2.9390999999999998
2010-07-01,2.2793999999999999
2010-10-01,2.2885000000000000
2011-01-01,1.3704000000000001
2011-04-01,0.5886000000000000
2011-07-01,0.0913000000000000
2011-10-01,-0.6832000000000000
2012-01-01,-0.8128000000000000
2012-04-01,-1.2742000000000000
2012-07-01,-1.0398000000000001
2012-10-01,-0.1901000000000000
2013-01-01,0.2027000000000000
2013-04-01,2.0063000000000000
2013-07-01,1.5902000000000001
2013-10-01,1.3654999999999999
2014-01-01,1.5369999999999999
2014-04-01,-1.9974000000000001
2014-07-01,-2.2079000000000000
2014-10-01,-1.9411000000000000
2015-01-01,0.0696000000000000
2015-04-01,1.9249000000000001
2015-07-01,2.7517000000000000
2015-10-01,1.7154000000000000
2016-01-01,1.5849000000000000
2016-04-01,3.3473999999999999
2016-07-01,2.2521000000000000
2016-10-01,2.2158000000000002
2017-01-01,3.5533000000000001
2017-04-01,1.5970000000000000
2017-07-01,1.8258000000000001
2017-10-01,1.2281000000000000
2018-01-01,0.2400000000000000
2018-04-01,1.2259000000000000
2018-07-01,0.6620000000000000
2018-10-01,1.6250000000000000
2019-01-01,2.0026000000000002
2019-04-01,1.1865000000000001
2019-07-01,0.9113000000000000
2019-10-01,0.4545000000000000
2020-01-01,-1.0955999999999999
2020-04-01,-0.8330000000000000
2020-07-01,-0.1508000000000000
2020-10-01,2.5223000000000000
2021-01-01,3.8961000000000001
2021-04-01,6.2476000000000003
2021-07-01,8.3252000000000006
2021-10-01,6.2901999999999996
2022-01-01,8.1216000000000008
2022-04-01,6.6586999999999996
2022-07-01,4.8468999999999998
2022-10-01,3.5329000000000002
2023-01-01,1.0670999999999999
2023-04-01,-0.1293000000000000
2023-07-01,-0.9750000000000000
2023-10-01,-0.8633000000000000
2024-01-01,-0.0346000000000000
2024-04-01,0.0417000000000000
2024-07-01,0.6676000000000000
